FirstName,LastName,Email,Phone,Gender,SubjectArea,YearsExperience,AgeGroup
Alice,Johnson,alice.johnson@example.com,555-123-4567,Female,Math,5,12-18
Brian,Smith,brian.smith@example.com,555-234-5678,Male,Science,8,5-18
Catherine,Brown,catherine.brown@example.com,555-345-6789,Female,English,3,5-12
David,Miller,david.miller@example.com,555-456-7890,Male,History,10,5-18
Ella,Davis,ella.davis@example.com,555-567-8901,Female,Computer Science,6,5-12
Frank,Wilson,frank.wilson@example.com,555-678-9012,Male,Biology,7,12-18
Grace,Taylor,grace.taylor@example.com,555-789-0123,Female,Physics,4,5-18
Henry,Clark,henry.clark@example.com,555-890-1234,Male,Chemistry,12,5-12
Isabella,Lopez,isabella.lopez@example.com,555-901-2345,Female,Art,2,5-18
Jack,Anderson,jack.anderson@example.com,555-012-3456,Male,Economics,9,12-18
